[00:00:00 --> 00:00:02]  Здравствуйте, дорогие друзья!
[00:17:50 --> 00:17:52]  как раз, сделаем и ненужная операция.
[00:17:52 --> 00:17:53]  И при подготовке ты че.
[00:17:53 --> 00:17:56]  Ну, я расскажу, когда мы будем набивать.
[00:17:56 --> 00:17:57]  Хорошо.
[00:17:57 --> 00:17:58]  Хорошо.
[00:17:58 --> 00:17:59]  Сейчас, так как готовим.
[00:17:59 --> 00:18:00]  Мы сделаем.
[00:18:00 --> 00:18:05]  Парит с ифтурин краковской колбасы.
[00:18:05 --> 00:18:08]  И я знаю, что мы не добавим говядина.
[00:18:08 --> 00:18:09]  Хорошо.
[00:18:09 --> 00:18:13]  Но в нежней изит и вкус у нас будет краковской.
[00:18:13 --> 00:18:14]  Хорошо.
[00:18:14 --> 00:18:15]  Самое любимое, самое.
[00:18:15 --> 00:18:16]  Это мой краков.
[00:18:16 --> 00:18:17]  Да-да.
[00:18:17 --> 00:18:18]  Да.
[00:18:18 --> 00:18:28]  Делаем краковскую колбасу.
[00:18:28 --> 00:18:31]  Для того, чтобы она у нас была приближенная гостой,
[00:18:31 --> 00:18:34]  чтобы она была вкусная и из мяса.
[00:18:34 --> 00:18:37]  Вот, лище, это что сейчас магазинах.
[00:18:37 --> 00:18:40]  Мы сделаем крупную нарезку.
[00:18:40 --> 00:18:44]  Вот у нас есть такая решетка для мяса, рубки, крупные.
[00:18:44 --> 00:18:47]  Мы половину мяса, перекротим через крупную.
[00:18:47 --> 00:18:48]  То есть она у нас будет рубленная.
[00:18:48 --> 00:18:51]  И прямо на разрезил, у нас будут кусочки мяса.
[00:18:51 --> 00:18:54]  Они просто фаршевые массы.
[00:18:54 --> 00:18:56]  Можно устанавливать.
[00:18:56 --> 00:18:59]  А остальное вместе с жирочком.
[00:18:59 --> 00:19:01]  Мы перекротим померче.
[00:19:01 --> 00:19:05]  И тогда у нас получится фаршевая масса.
[00:19:05 --> 00:19:09]  Плотная и очень красивая присунку.
[00:19:09 --> 00:19:16]  ДИНАМИЧНАЯ МУЗЫКА
[00:19:16 --> 00:19:17]  Останавливаем.
[00:19:17 --> 00:19:19]  Меняем решетку.
[00:19:19 --> 00:19:24]  ДИНАМИЧНАЯ МУЗЫКА
[00:19:24 --> 00:19:26]  Вот что у нас получилось.
[00:19:26 --> 00:19:28]  Можно приблизить.
[00:19:28 --> 00:19:32]  То есть мясо и крупными кусками, как бы мы нарезали его ножом.
[00:19:32 --> 00:19:34]  Сейчас уролосшучки.
[00:19:34 --> 00:19:35]  Все сюда.
[00:19:35 --> 00:19:39]  Вот так в моюку.
[00:19:39 --> 00:19:42]  И берем более мелкую.
[00:19:42 --> 00:19:43]  Да.
[00:19:43 --> 00:19:45]  Это какой на скалибор примену.
[00:19:45 --> 00:19:47]  Это она и расчастерочка.
[00:19:47 --> 00:19:48]  Не это девятка.
[00:19:48 --> 00:19:49]  Пойдет.
[00:19:49 --> 00:19:50]  Девятку берем.
[00:19:50 --> 00:19:54]  Вот здесь уже мясо вместе жирком.
[00:19:54 --> 00:19:56]  Все перекрочим.
[00:19:56 --> 00:19:57]  Возьми с теста.
[00:19:57 --> 00:20:00]  И можно высыпать для желудова.
[00:20:00 --> 00:20:02]  Хорошо будет.
[00:20:02 --> 00:20:11]  ДИНАМИЧНАЯ МУЗЫКА
[00:20:11 --> 00:20:13]  Старайтесь жир вместе с мясом.
[00:20:13 --> 00:20:16]  Кидать, что отдельно жиром плохо идет.
[00:20:16 --> 00:20:17]  Ага.
[00:20:17 --> 00:20:20]  Роман, как быстро у нас с камерой, а купится.
[00:20:20 --> 00:20:22]  Камеру нас купается.
[00:20:22 --> 00:20:25]  Но если мы говорим, что мы работаем в 20 рабочих дней.
[00:20:25 --> 00:20:28]  То есть все выходные, спокойно и отдыхаем.
[00:20:28 --> 00:20:30]  Работает нас один человек.
[00:20:30 --> 00:20:33]  Призводим мы всего 50 килограмм готового продукса.
[00:20:33 --> 00:20:37]  В заработанном мы как минимум 200 тысяч чистые прибыли в месяц.
[00:20:37 --> 00:20:40]  Содействие с на камеру стоит 450 тысяч.
[00:20:40 --> 00:20:42]  И такую камеру мы можем купить.
[00:20:42 --> 00:20:44]  Уже до 2,5 месяца.
[00:20:44 --> 00:20:46]  Но если люди будут пробовать,
[00:20:46 --> 00:20:48]  настолько качественные продукты,
[00:20:48 --> 00:20:50]  бьемы, соответственно, будут расти.
[00:20:50 --> 00:20:51]  То есть не можно еще быстрее.
[00:20:51 --> 00:20:52]  Ну конечно.
[00:20:52 --> 00:20:54]  Я помню отец рассказывал такие истории,
[00:20:54 --> 00:20:58]  когда ничего в 90-й годы продавали
[00:20:58 --> 00:21:00]  коптильные камеры, ничего новым русским.
[00:21:00 --> 00:21:03]  Вот там условным бандитом,
[00:21:03 --> 00:21:05]  которые, прошлом бандитом,
[00:21:05 --> 00:21:09]  которые хотели уже более легально заработать свои деньги.
[00:21:09 --> 00:21:11]  Вот и у них столько купаемся,
[00:21:11 --> 00:21:14]  которые сегодня с людьми за два дня купали камеру
[00:21:14 --> 00:21:16]  и приезжали за новые.
[00:21:16 --> 00:21:18]  У вас, собственно, таким отубрзом.
[00:21:18 --> 00:21:19]  Ты все купалась.
[00:21:19 --> 00:21:20]  На сегодня это конечно,
[00:21:20 --> 00:21:21]  не два дня.
[00:21:21 --> 00:21:22]  Это два спала месяца.
[00:21:22 --> 00:21:24]  Но в общем-то тоже не очень долго.
[00:21:24 --> 00:21:28]  А сколько сразу предоплаты на довъесте?
[00:21:28 --> 00:21:31]  Предоплаты 30% предоплата.
[00:21:31 --> 00:21:32]  А статок оплачивается.
[00:21:32 --> 00:21:35]  Пейдоддвеской, полгот полностью оборудования.
[00:21:35 --> 00:21:39]  Средние срок ворки у нас 4-3-5 недель.
[00:21:39 --> 00:21:40]  Ну понятно.
[00:21:40 --> 00:21:43]  То есть вы можете расти в во время,
[00:21:43 --> 00:21:46]  не вам не надо сразу все деньги вносить.
[00:21:46 --> 00:21:49]  Вы можете за там за месяц два постепенно
[00:21:49 --> 00:21:51]  к отгрузки подготовиться.
[00:21:51 --> 00:21:53]  Так, ну что, сейчас перемешиваем фарш?
[00:21:53 --> 00:21:54]  Да.
[00:21:54 --> 00:21:56]  У меня еще есть одна фишка.
[00:21:56 --> 00:21:58]  Именно к этой колбасе.
[00:21:58 --> 00:21:59]  Сейчас я принесу.
[00:21:59 --> 00:22:00]  Вот это мы туда не кладем.
[00:22:00 --> 00:22:01]  Нет, кладем.
[00:22:01 --> 00:22:02]  Не наезжайте.
[00:22:02 --> 00:22:03]  Это мисару.
[00:22:03 --> 00:22:04]  У нас такая просто...
[00:22:04 --> 00:22:05]  Просто...
[00:22:05 --> 00:22:07]  Я просто последний кусок жира в сделал.
[00:22:07 --> 00:22:08]  Я поняла.
[00:22:08 --> 00:22:09]  Она облата.
[00:22:09 --> 00:22:10]  Она была мисто смешана.
[00:22:10 --> 00:22:11]  Не надо.
[00:22:11 --> 00:22:12]  Ну, это она...
[00:22:12 --> 00:22:13]  Это она...
[00:22:13 --> 00:22:14]  Поздравляю.
[00:22:20 --> 00:22:23]  В общем, это шпик кубиками.
[00:22:23 --> 00:22:25]  А когда вы вы делаете?
[00:22:25 --> 00:22:26]  Нарезаем ножом.
[00:22:26 --> 00:22:27]  Просто мы можем.
[00:22:27 --> 00:22:28]  Просто мы можем.
[00:22:28 --> 00:22:29]  Домороженное сало.
[00:22:29 --> 00:22:30]  Доморезаем ножом.
[00:22:30 --> 00:22:31]  Это прикольно.
[00:22:31 --> 00:22:34]  Это предоедет вообще вот абсолютно.
[00:22:34 --> 00:22:36]  Ручное такой вид.
[00:22:36 --> 00:22:38]  Ручного производства.
[00:22:38 --> 00:22:39]  Хэндмейт.
[00:22:39 --> 00:22:42]  Вот такой, сейчас даже вы саплюем на чёрную доску.
[00:22:42 --> 00:22:43]  Очень красиво.
[00:22:43 --> 00:22:44]  Создавай кубный к вам.
[00:22:44 --> 00:22:51]  Это шпик, который хребтовой на спиньер, который не плавится.
[00:22:51 --> 00:22:57]  Ну вот сало грубо говоря, которая мы едем саленом, которая солят.
[00:22:57 --> 00:23:01]  И мы его нарезаем мелким кубиком и добавляем в колбасу.
[00:23:01 --> 00:23:04]  Нас получается шикарный рисунок.
[00:23:04 --> 00:23:09]  И в общем-то поглость у раньше нужно было делать именно так.
[00:23:09 --> 00:23:12]  Вот такая шпик.
[00:23:12 --> 00:23:15]  И мы это сейчас замешаем в фарш.
[00:23:15 --> 00:23:20]  Сейчас нам надо подготовить спецы и все взвесит для того, чтобы подготовить спецы.
[00:23:20 --> 00:23:21]  Давайте.
[00:23:21 --> 00:23:22]  Значит, что мы сейчас...
[00:23:22 --> 00:23:25]  Сейчас мы будем оттаривать эту штуку.
