[00:00:00 --> 00:00:06]  Здравствуйте, друзья!
[01:17:49 --> 01:17:52]  но там совсем другая математика, потому что здесь еще вы продумали,
[01:17:52 --> 01:17:53]  мы с маркетом.
[01:17:53 --> 01:17:58]  Но и в определенных точках, но корейка уберут больше всего,
[01:17:58 --> 01:18:00]  и бывает, что мы, да, у полотонным, можем отгрозить.
[01:18:00 --> 01:18:01]  В неделю?
[01:18:01 --> 01:18:04]  О, это приличная, приличная.
[01:18:04 --> 01:18:08]  Поэтому, в принципе, я понимаю, почему Антон рассматривал покупку.
[01:18:08 --> 01:18:10]  Большой же камер на 10-тидесят килограмм.
[01:18:10 --> 01:18:13]  Потому что это крайне оекачество продукта.
[01:18:13 --> 01:18:17]  Ты можешь за условно говоря, за 200 смены полотонны выпустить.
[01:18:17 --> 01:18:24]  И вот в таком маленьком магазине продавать уже значительный объем для получения.
[01:18:24 --> 01:18:27]  Не только здесь, потому что мы продаем здесь,
[01:18:27 --> 01:18:31]  как ты видишь, и мы из этого же объема отправляем с анпетербургом.
[01:18:31 --> 01:18:34]  А в Питер, вы отправляете дополнительный объем,
[01:18:34 --> 01:18:35]  или вот эти 500 килограмм недель.
[01:18:35 --> 01:18:36]  А все вместе?
[01:18:36 --> 01:18:41]  Да, но здесь опять-таки все же в экономике увеличивается количество точек продаж,
[01:18:41 --> 01:18:44]  увеличивается загрузку производства, и соответственно растет доход.
[01:18:44 --> 01:18:47]  А скажи, вы здесь вот потуется некоторую,
[01:18:47 --> 01:18:51]  вы здесь продаете, потожиться не выотгружается в точке в Питербурге.
[01:18:51 --> 01:18:53]  В некотором позиции мы надо совпадать,
[01:18:53 --> 01:18:55]  допока им по некоторым отличается.
[01:18:55 --> 01:18:58]  Ну, в принципе, мне кажется, магазине может дороже продавать, чем.
[01:18:58 --> 01:19:00]  Да, например, езы.
[01:19:00 --> 01:19:06]  У нас стоит 1320 в универсами сезона ульцузам,
[01:19:06 --> 01:19:08]  что она лежит до 90.
[01:19:08 --> 01:19:10]  Понятно.
[01:19:10 --> 01:19:12]  Потому что там оборачиваемость выше.
[01:19:12 --> 01:19:13]  Да.
[01:19:13 --> 01:19:17]  Корейка, корейка у нас...
[01:19:17 --> 01:19:18]  Корейка, вот Питербург,
[01:19:18 --> 01:19:20]  Корейка, Питербург, с 1070.
[01:19:20 --> 01:19:22]  Здесь магазине упродить по 700.
[01:19:22 --> 01:19:26]  По 700 рублей, а там они продают дороже.
[01:19:26 --> 01:19:28]  Вы ему отгружаете по 420.
[01:19:28 --> 01:19:33]  Они продают 750-800 вот в зависимости от разных магазинов.
[01:19:33 --> 01:19:36]  И это тот продукт, который чаще всего идет в них на остров,
[01:19:36 --> 01:19:37]  так называемый.
[01:19:37 --> 01:19:40]  В нариску к фермерской продукции высокого качества,
[01:19:40 --> 01:19:41]  и там дочуха рост.
[01:19:52 --> 01:19:55]  Слушай, если молодые, ребята, мы не с начинающим,
[01:19:55 --> 01:19:58]  товарищу, давайте какой-то рекомендации.
[01:19:58 --> 01:20:00]  Пройдя в весьто топ, который вы прошли.
[01:20:00 --> 01:20:03]  Вот три рекомендации, катакий вы бодали.
[01:20:03 --> 01:20:07]  Начинать сначала договариваться с точками реализации.
[01:20:07 --> 01:20:08]  Это вот самое первое.
[01:20:08 --> 01:20:13]  Потому что может быть, у каких-то партнеров,
[01:20:13 --> 01:20:17]  друзей, может быть, даже у нас попросить какую-то продукцию.
[01:20:17 --> 01:20:19]  Сказать, вот мы такую производим.
[01:20:19 --> 01:20:21]  Вот договориться, потому что вот уже,
[01:20:21 --> 01:20:24]  чтобы не было просадки, не было.
[01:20:24 --> 01:20:28]  И, ну, скажем так, какого-то такого кассового разрыва,
[01:20:28 --> 01:20:29]  большое.
[01:20:29 --> 01:20:31]  И, конечно, документы.
[01:20:31 --> 01:20:32]  Нужно все делать документы.
[01:20:32 --> 01:20:35]  Нужно искать поступщика продукции.
[01:20:35 --> 01:20:36]  Мясо, смео, да.
[01:20:36 --> 01:20:37]  Сверяда.
[01:20:37 --> 01:20:42]  Да, потому что вот декларация Александра сама научилась писать в миркурида.
[01:20:42 --> 01:20:44]  У меня есть большое преимущество опередцемия.
[01:20:44 --> 01:20:47]  У меня, а в большой юридически опыд, для меня это легко.
[01:20:48 --> 01:20:50]  Обычно, ребята, нанимают на виде,
[01:20:50 --> 01:20:53]  там за 10-15 тысяч человек и он на удаленке.
[01:20:53 --> 01:20:57]  Здесь имеются определенные риски роман, потому что вот
[01:20:57 --> 01:21:01]  эти люди на виды, либо компанией, предоставляющие услуги,
[01:21:01 --> 01:21:05]  они дают только документ, не объясняя,
[01:21:05 --> 01:21:10]  на чинающему предприниматели в свереводкообечение работы
[01:21:10 --> 01:21:13]  на этом оборудовании, какие-то что-либо нехризки.
[01:21:13 --> 01:21:17]  Они дают поделные протоколы, либо продукция,
[01:21:17 --> 01:21:22]  проходят, ну, есть определенные, чтобы сделать декларацию.
[01:21:23 --> 01:21:25]  Соответственно, в продукции, чтобы начать продавать.
[01:21:25 --> 01:21:29]  Конечно, можно начать продавать, как мы, когда-то подчёрным флагом.
[01:21:29 --> 01:21:31]  Но это было абсолютно короткий период,
[01:21:31 --> 01:21:34]  когда мы пытались понять, нам это вообще нужно или нет.
[01:21:34 --> 01:21:37]  Ко мне на велонавочек классным мысль.
[01:21:37 --> 01:21:40]  Можно открыть школу колбасника.
[01:21:40 --> 01:21:45]  Вот, не только учить технологии производства колбас,
[01:21:45 --> 01:21:46]  как организовать производство.
[01:21:46 --> 01:21:50]  Да, именно организовать производство с нуля,
[01:21:50 --> 01:21:56]  чтобы мы или кто-то научили делать декларацию.
[01:21:56 --> 01:22:00]  Все всюду в сюда комментации, чтобы начинающий предприниматель
[01:22:00 --> 01:22:03]  зашел на этой тройнок уже полностью готовы.
[01:22:03 --> 01:22:06]  Надо принципиально понимать, что есть три составляющие.
[01:22:06 --> 01:22:10]  Это юридическое часть.
[01:22:10 --> 01:22:13]  Это производство технологии, это подбора оборудование,
[01:22:13 --> 01:22:15]  что принципиально важно.
[01:22:15 --> 01:22:17]  Оборудование можно ошибиться.
[01:22:17 --> 01:22:19]  И наш выбор не случайно, полно-ижится,
[01:22:19 --> 01:22:23]  потому что это надёжность, это высокое качество
[01:22:23 --> 01:22:27]  сравнимая с немецкими, а в некоторых позициях превосходящей.
[01:22:27 --> 01:22:29]  Потому что для нас и Талон всегда немецкое оборудование.
[01:22:29 --> 01:22:33]  Мы имеем обработанным немецком оборудовании на нашем российском.
[01:22:33 --> 01:22:36]  Мы понимаем, что такамеры, которые у нас сейчас имеются,
[01:22:36 --> 01:22:38]  да, две камеры.
[01:22:38 --> 01:22:40]  Они, ничего не уступают.
[01:22:40 --> 01:22:45]  В большей степени, даже превосходят то, что есть вот такой объем производства.
[01:22:45 --> 01:22:50]  Потому что качество выходящего продукта из оборудования,
[01:22:50 --> 01:22:54]  но значительно выше, чем если из аналогичных камер,
[01:22:54 --> 01:22:56]  но других производителей.
[01:22:56 --> 01:23:01]  Потому что камеры ижица они работают по такой же системе,
[01:23:01 --> 01:23:04]  как камеры на больших производствах, только в маленьком формате.
[01:23:04 --> 01:23:09]  Это залог успехов, часть минимизации ошибок на списание продукции.
[01:23:09 --> 01:23:16]  Шибки всегда бывают, потому что опыции наши воктрудные, да, надо понимать,
[01:23:16 --> 01:23:19]  что все равно у тебя будет где-то какой-то когда-то брак.
[01:23:19 --> 01:23:24]  Но когда есть моменты, которые у тебя могут предупредить заранее,
[01:23:24 --> 01:23:28]  то, конечно, здесь нужно обучиться.
[01:23:28 --> 01:23:31]  И обучиться не так, как, например, мы учились.
[01:23:31 --> 01:23:35]  Кусочика этого, кусочика этого, где-то я говорила, что я сама.
[01:23:35 --> 01:23:37]  Антон...
[01:23:37 --> 01:23:38]  Ты изначально на кухни, когда ущили.
[01:23:38 --> 01:23:44]  Антон вообще из принимателя, из автомобильного бизнеса среднего,
[01:23:44 --> 01:23:47]  стал технологом пищевого производства.
[01:23:47 --> 01:23:50]  Это абсолютно отдельное профессия.
[01:23:50 --> 01:23:53]  И он на это не потратил петле, потратил год.
[01:23:53 --> 01:23:58]  А в какой момент у нас прошли обучение, красот с сансом, чем?
[01:23:58 --> 01:24:00]  А когда я его выгнулась?
[01:24:00 --> 01:24:05]  Да, когда с кухни выгнулась, мы подобрали помещение на рынке,
[01:24:05 --> 01:24:10]  повторюсь, и было принято решение все открываем магазины,
[01:24:10 --> 01:24:14]  и мини производства, заказали камеру и вот, пока на...
[01:24:14 --> 01:24:15]  И перед этим, пока...
[01:24:15 --> 01:24:16]  Какая камера?
[01:24:16 --> 01:24:18]  Да, пока камера производилась.
[01:24:18 --> 01:24:22]  Мы, как раз, проходили обучение, мы приехали, выживаться.
[01:24:22 --> 01:24:27]  И тогда вы запустили первую дверся стеклом.
[01:24:27 --> 01:24:31]  Кто-то из ваших коллег по хвостался, я гоннука подним посмотрим.
[01:24:31 --> 01:24:34]  Мы пришли по сватрелю, я тоже такую хочу.
[01:24:34 --> 01:24:36]  Уже почти готовы конструкции.
[01:24:36 --> 01:24:37]  Он говорит, делать очень не отчет.
[01:24:37 --> 01:24:41]  В этот же день дверь на наши камеры стали пилились,
[01:24:41 --> 01:24:43]  и вот туда поставить стекло.
[01:24:43 --> 01:24:47]  Да, вот так я увидите, как раз камеру с стеклом, которые стоит.
[01:24:47 --> 01:24:48]  Посмотрите, какие планы на будущее.
[01:24:48 --> 01:24:51]  То есть какие шаги развития дальнейшие.
[01:24:51 --> 01:24:53]  Шаги развития дальнейшего,
[01:24:53 --> 01:24:56]  первых нам очень нужны сейчас объемные продажи,
[01:24:56 --> 01:24:57]  чтобы загружить производство.
[01:24:57 --> 01:25:01]  Потому что у каждого производства есть свои там развития.
[01:25:01 --> 01:25:04]  И нам сейчас нужно упередцев потолок по...
[01:25:04 --> 01:25:05]  А где он производство здесь?
[01:25:05 --> 01:25:07]  Воза грузки производства здесь.
[01:25:07 --> 01:25:09]  Это нам поможет в будущем.
[01:25:09 --> 01:25:12]  Мы тяцы зонности, потому что все-таки,
[01:25:12 --> 01:25:14]  надо понимать, что обсковская область,
[01:25:14 --> 01:25:17]  это крайне сезонная региона, особенно в том, что в которой.
[01:25:17 --> 01:25:22]  Да, особенно в довский район, которые в отдалении от всех,
[01:25:22 --> 01:25:24]  которые с тех, которые с тех, кто их находятся.
[01:25:24 --> 01:25:26]  Он сам по себе прекрасен.
[01:25:26 --> 01:25:28]  Мы сегодня прогулялись, вы увидели все прелости, которые здесь есть.
[01:25:28 --> 01:25:29]  А очень красиво.
[01:25:29 --> 01:25:37]  Но к сожалению, он мало развивается с точки зрения участия властей.
[01:25:37 --> 01:25:41]  У здесь инвесторы нужны.
[01:25:41 --> 01:25:44]  Восами по сути появлялись струистические предыгательные местом.
[01:25:44 --> 01:25:48]  Валкруга, единственная кафе с пяти из вездами.
[01:25:48 --> 01:25:50]  Люди пишут классные отзывы.
[01:25:50 --> 01:25:52]  Специальный ради вас приезжают.
[01:25:52 --> 01:25:54]  Никогда ничканно приезжала,
[01:25:54 --> 01:25:56]  и вот они выпусили такую классную книгу.
[01:25:56 --> 01:26:00]  Я играфе на вкус, она ее нас продается и на вита,
[01:26:00 --> 01:26:01]  на зоне можно ее купить.
[01:26:01 --> 01:26:03]  Касота.
[01:26:03 --> 01:26:08]  Если вы приобретите такую книгу, то с кубского,
[01:26:08 --> 01:26:10]  будет очень проблематично выехать.
[01:26:10 --> 01:26:13]  Это просто какой-то гастрономический рай.
[01:26:13 --> 01:26:15]  Да, там все лучше производители,
[01:26:15 --> 01:26:18]  в этом по-тего дитиле обозначено.
[01:26:18 --> 01:26:22]  Да, классно, когда государство бокси,
[01:26:22 --> 01:26:24]  мы на него повлиять особо не можем.
[01:26:24 --> 01:26:26]  А вот как я честно предприниматель,
[01:26:26 --> 01:26:28]  делает какие-то такие проекты,
[01:26:28 --> 01:26:31]  которые сами являются привлекательными литое истов регион.
[01:26:31 --> 01:26:33]  Вот и с вами вас поздравляю.
[01:26:33 --> 01:26:34]  Спасибо.
[01:26:34 --> 01:26:39]  А ты говорила еще по поводу какой-то панируешь строить кухню,
[01:26:39 --> 01:26:43]  на улице, или как-то облагораживать в эту учесть.
[01:26:43 --> 01:26:46]  Да, я хочу построить тиросу,
[01:26:46 --> 01:26:49]  потому что мы когда делали ремонты,
[01:26:49 --> 01:26:51]  мы проектировали его, соответственно,
[01:26:51 --> 01:26:56]  мы сделали с теклянной двери с выходом в одвор.
[01:26:56 --> 01:26:59]  Сделали с теклянной двери на производство.
[01:26:59 --> 01:27:01]  Стам у тебя собственно территория, тоже, да?
[01:27:01 --> 01:27:03]  С натеритуре, довольно-таки большая.
[01:27:03 --> 01:27:08]  И идея была такая, и она есть.
[01:27:08 --> 01:27:11]  И мы будем ремонт в следующей годы,
[01:27:11 --> 01:27:12]  в площадь в жизни.
[01:27:12 --> 01:27:15]  Там будет, и вот, будет, и в туристы.
[01:27:15 --> 01:27:18]  И да, и вообще, любой, кто к нам приедет,
[01:27:18 --> 01:27:21]  может спокойно загрюдует на производство.
[01:27:21 --> 01:27:23]  Посмотри, что мы там делали, и у нас,
[01:27:23 --> 01:27:25]  будет очень классно, мангальная зона,
[01:27:25 --> 01:27:30]  и сегодня мы будем жарить наши вкусные,
[01:27:30 --> 01:27:34]  ребрышки, мизбаранинные, коры, и гненка.
[01:27:34 --> 01:27:38]  Вот это мы вот тоже продаем, и жарим,
[01:27:38 --> 01:27:42]  и многошу на каждую, и стейков, и баранинные, и говядины.
[01:27:42 --> 01:27:44]  Здесь не ограничу, если на одном сорове,
[01:27:44 --> 01:27:46]  не только на одной копченной продукции,
[01:27:46 --> 01:27:49]  и в принципе фантазии работает.
[01:27:49 --> 01:27:52]  Мы, когда есть, деление на фестивале,
[01:27:52 --> 01:27:55]  в прошлом году уже, вот с этим чужой,
[01:27:55 --> 01:27:56]  и в поза прошлом.
[01:27:56 --> 01:27:59]  В этой колбаске, которые мы подвариваем,
[01:27:59 --> 01:28:01]  выживаются до кулинарной готовности,
[01:28:01 --> 01:28:04]  очень хорошо, доводятся до полной готовности.
[01:28:04 --> 01:28:07]  Почарим, начи, гигантовы уже,
[01:28:07 --> 01:28:09]  и мы просто говорим, как говорят,
[01:28:09 --> 01:28:12]  наше друзьяше Повора кулорщик даем.
[01:28:12 --> 01:28:14]  Вот, далеко, лорщик, и все.
[01:28:14 --> 01:28:18]  А по поводу перенос производства,
[01:28:18 --> 01:28:21]  я слышал тоже планова, есть стоять отсюда,
[01:28:21 --> 01:28:22]  планируете.
[01:28:22 --> 01:28:25]  Это стадия возможно, когда ты уже оперсив в потолок,
[01:28:25 --> 01:28:28]  потому что здесь развиваться будет достаточно тяжело.
[01:28:28 --> 01:28:30]  И плюс инвестиции нужны,
[01:28:30 --> 01:28:32]  то есть больше прито прибудили,
[01:28:32 --> 01:28:34]  для того, что построить стволя производства уже в Санкт-Петербурге.
[01:28:34 --> 01:28:37]  И там планируете какое-то здание покупать,
[01:28:37 --> 01:28:40]  и перестраиваете его или сноляр строить из-за чения.
[01:28:40 --> 01:28:43]  Наверное, проще строить стволя,
[01:28:43 --> 01:28:45]  потому что, как показывает опыт,
[01:28:45 --> 01:28:49]  поощьи быстрее и дешевле построить новые.
[01:28:49 --> 01:28:53]  Свой проект уже под свои технологические процессы,
[01:28:53 --> 01:28:54]  под свои потребности,
[01:28:54 --> 01:28:57]  и в your opinion, и уже не перестраивать ничего предыдущей.
[01:28:57 --> 01:28:59]  Потому что когда у тебя уже есть понимание,
[01:28:59 --> 01:29:02]  ты сначала попробовал в микропомещении,
[01:29:02 --> 01:29:04]  потом в своем здании, и небольшом.
[01:29:04 --> 01:29:06]  Потому что три стометров это небольшое здание,
[01:29:06 --> 01:29:09]  с учетом тех задач, которые он не сейчас закрывает.
[01:29:09 --> 01:29:13]  Уже из этого проще имея опыт, понимание.
[01:29:13 --> 01:29:14]  Понимаете?
[01:29:14 --> 01:29:15]  Понимаете?
[01:29:15 --> 01:29:18]  Видение, что это даже внутри спроектировать,
[01:29:18 --> 01:29:22]  в под расчета троих, которые перед движения сотрудников,
[01:29:22 --> 01:29:24]  в точке зрения и ковточки.
[01:29:24 --> 01:29:26]  И по-токе сотрудников внутри,
[01:29:26 --> 01:29:29]  чтобы более эффективное производство.
[01:29:29 --> 01:29:30]  Я тоже свою опыт,
[01:29:30 --> 01:29:32]  хочу сказать, что чем лучше играть,
[01:29:32 --> 01:29:35]  не точнее мы проектируем наш будущий цех,
[01:29:35 --> 01:29:37]  я своей два завода проектируем.
[01:29:37 --> 01:29:40]  Это дешевле, тема эффективнее,
[01:29:40 --> 01:29:41]  и грамотнее в принципе.
[01:29:41 --> 01:29:45]  Это гораздо дешевле в целом стройка стоит.
[01:29:45 --> 01:29:46]  Нужно ничего не нужно перейдеть.
[01:29:46 --> 01:29:51]  Ты многим покажешь, что потратить
[01:29:51 --> 01:29:54]  может быть большие деньги на проектирование,
[01:29:54 --> 01:29:59]  то по итогу ты получаешь более рогономичное производство.
[01:29:59 --> 01:30:01]  И по реконamentе,
[01:30:01 --> 01:30:03]  и более экипы.
[01:30:03 --> 01:30:06]  И речту экономить тебе и энергоемкое,
[01:30:06 --> 01:30:10]  поэтому нужно проектировать обязательно.
[01:30:10 --> 01:30:13]  Вот ребята, вычисли, что только все вы прошли,
[01:30:13 --> 01:30:15]  вы чувствуете все счастливыми.
[01:30:15 --> 01:30:17]  Мы чувствуем всегда себя счастливыми,
[01:30:17 --> 01:30:21]  не важно, чем ты занимаешься,
[01:30:21 --> 01:30:22]  где ты занимаешься,
[01:30:22 --> 01:30:23]  главное это делать двоем,
[01:30:23 --> 01:30:25]  и с большой любовью.
[01:30:25 --> 01:30:28]  Тем более счастье, это такое момента,
[01:30:28 --> 01:30:29]  но не перомонентное.
[01:30:29 --> 01:30:33]  И момента счастье нужно видеть в каждом событие в своей жизни.
[01:30:33 --> 01:30:36]  Поэтому главное, это нематься своим делом,
[01:30:36 --> 01:30:40]  горячим и хотеть снистей добро,
[01:30:40 --> 01:30:43]  что дополнительно хочется сказать для тех людей,
[01:30:43 --> 01:30:45]  которые говорят, идеи, копчения,
[01:30:45 --> 01:30:48]  обязательно нужно проходить опучение,
[01:30:48 --> 01:30:52]  обучение отточечное конкретно по тем вопросам,
[01:30:52 --> 01:30:54]  которые применим и в практике,
[01:30:54 --> 01:30:55]  чтобы не терять деньги,
[01:30:55 --> 01:30:57]  как это получалось у нас,
[01:30:57 --> 01:31:00]  когда нам приходилось каждый раз сомин наступать на грабле.
[01:31:00 --> 01:31:03]  И для этого, конечно, нужно проводить обучение,
[01:31:03 --> 01:31:05]  и получать обучение.
[01:31:05 --> 01:31:09]  И мы как раз-таки хотели бы на площадке,
[01:31:09 --> 01:31:10]  совместно с вами,
[01:31:10 --> 01:31:15]  говоря о том, что очень хорошая оборудования,
[01:31:15 --> 01:31:17]  и очень хорошей технологии можно совместить,
[01:31:17 --> 01:31:21]  закрывать потребности предпринимателей,
[01:31:21 --> 01:31:24]  в том, чтобы они получали знания,
[01:31:24 --> 01:31:28]  которые они шнобого прода и практически опыта в одном месте.
[01:31:28 --> 01:31:30]  Которые позволят быстрее выйти на самоупаяность,
[01:31:30 --> 01:31:32]  как бы и напребель.
[01:31:32 --> 01:31:34]  И где можно будет и показать цифры
[01:31:34 --> 01:31:35]  и показать технологию,
[01:31:35 --> 01:31:39]  и дать какие-то прикладные знания юридически,
[01:31:39 --> 01:31:41]  которые могут применять.
[01:31:41 --> 01:31:43]  Уже, на конкретном бизнес-принем.
[01:31:43 --> 01:31:45]  И самое главное показать работа оборудования в деле.
[01:31:45 --> 01:31:46]  Я очень хочу пожарить,
[01:31:46 --> 01:31:48]  все баранин, но и будут такой счастливы.
[01:31:48 --> 01:31:50]  Пойдем есть мясо.
[01:31:50 --> 01:31:53]  МУЗЫКАЛЬНАЯ ЗАСТАВКА
[01:32:20 --> 01:32:23]  МУЗЫКАЛЬНАЯ ЗАСТАВКА
