[00:00:00 --> 00:00:02]  У-а-у! У-а-у!
[00:22:11 --> 00:22:12]  растягивать
[00:22:12 --> 00:22:13]  полную кассету
[00:22:13 --> 00:22:14]  до,
[00:22:14 --> 00:22:15]  примерно,
[00:22:15 --> 00:22:16]  полнотора часов
[00:22:16 --> 00:22:18]  и тепловлой дымовы
[00:22:18 --> 00:22:19]  тепловлажения в камеру
[00:22:19 --> 00:22:20]  будет минимальный.
[00:22:20 --> 00:22:21]  То есть, дуть температуры
[00:22:21 --> 00:22:22]  35 градусов
[00:22:22 --> 00:22:23]  камера будет набирать
[00:22:23 --> 00:22:25]  но примерно 25-30 минут.
[00:22:25 --> 00:22:26]  И, в общем-то,
[00:22:26 --> 00:22:27]  для
[00:22:27 --> 00:22:28]  предварительного
[00:22:28 --> 00:22:29]  преддания
[00:22:29 --> 00:22:30]  аромата
[00:22:30 --> 00:22:31]  продукции холодного
[00:22:31 --> 00:22:33]  копчения этого достаточно.
[00:22:33 --> 00:22:35]  Я, как только у вас температуры
[00:22:35 --> 00:22:37]  например, на холодном копчении
[00:22:37 --> 00:22:38]  достигать 35 градусов
[00:22:38 --> 00:22:40]  вы вытаскивает эти кассету
[00:22:40 --> 00:22:41]  тушить ее
[00:22:41 --> 00:22:44]  и переходите к этапу
[00:22:44 --> 00:22:45]  сушке
[00:22:45 --> 00:22:46]  опять-таки,
[00:22:46 --> 00:22:48]  полчаса 30-40 минут
[00:22:48 --> 00:22:50]  для того, чтобы
[00:22:50 --> 00:22:52]  дым установлен
[00:22:52 --> 00:22:53]  продевелся по продукту.
[00:22:53 --> 00:22:54]  После этого
[00:22:54 --> 00:22:55]  еще один на тап копчения
[00:22:55 --> 00:22:56]  и таких этапов
[00:22:56 --> 00:22:57]  может быть
[00:22:57 --> 00:22:58]  дом от двух до шести
[00:22:58 --> 00:22:59]  до семьи.
[00:22:59 --> 00:23:00]  То есть, если у вас
[00:23:00 --> 00:23:01]  половтоматической
[00:23:01 --> 00:23:02]  камера,
[00:23:02 --> 00:23:04]  то сам процесс
[00:23:04 --> 00:23:05]  будет выглядеть
[00:23:05 --> 00:23:06]  достаточно трудоемка.
[00:23:06 --> 00:23:07]  Но
[00:23:07 --> 00:23:09]  отвечая на вопрос
[00:23:09 --> 00:23:10]  может,
[00:23:10 --> 00:23:11]  ли делать
[00:23:11 --> 00:23:12]  мясо холодного копчения
[00:23:12 --> 00:23:13]  выжиться за 150
[00:23:13 --> 00:23:14]  да, можно.
[00:23:14 --> 00:23:15]  Но процесс
[00:23:15 --> 00:23:16]  будет не простой.
[00:23:16 --> 00:23:18]  Можно ли делать
[00:23:18 --> 00:23:19]  рыбу холодного копчения
[00:23:19 --> 00:23:20]  в камере
[00:23:20 --> 00:23:21]  и же за 150.
[00:23:21 --> 00:23:22]  Без дополнительных
[00:23:22 --> 00:23:23]  агрегатов
[00:23:23 --> 00:23:24]  без дополнительных
[00:23:24 --> 00:23:25]  опций ответ
[00:23:25 --> 00:23:26]  нельзя.
[00:23:26 --> 00:23:27]  Потому что для рыбы
[00:23:27 --> 00:23:28]  холодного копчения
[00:23:28 --> 00:23:29]  температура
[00:23:29 --> 00:23:30]  должно быть
[00:23:30 --> 00:23:31]  ниже 25 градусов.
[00:23:31 --> 00:23:32]  Если температура
[00:23:32 --> 00:23:33]  поднимется
[00:23:33 --> 00:23:34]  выше 25 градусов,
[00:23:34 --> 00:23:35]  скажем так,
[00:23:35 --> 00:23:36]  предельная температура
[00:23:36 --> 00:23:37]  30 градусов.
[00:23:37 --> 00:23:38]  В основном
[00:23:38 --> 00:23:39]  технологии рекомендуют
[00:23:39 --> 00:23:40]  коптить
[00:23:40 --> 00:23:41]  при температуре
[00:23:41 --> 00:23:42]  20,
[00:23:42 --> 00:23:44]  20,
[00:23:44 --> 00:23:45]  20,
[00:23:45 --> 00:23:46]  20,
[00:23:46 --> 00:23:47]  20,
[00:23:47 --> 00:23:48]  20,
[00:23:48 --> 00:23:49]  20,
[00:23:49 --> 00:23:50]  20,
[00:23:50 --> 00:23:51]  28 градусов.
[00:23:51 --> 00:23:52]  Вся берега
[00:23:52 --> 00:23:53]  зависит
[00:23:53 --> 00:23:54]  продукции.
[00:23:54 --> 00:23:55]  Но,
[00:23:55 --> 00:23:57]  по рыбе,
[00:23:57 --> 00:23:59]  очень сложным,
[00:23:59 --> 00:24:00]  шести часов,
[00:24:00 --> 00:24:02]  без дополнительного холодильника
[00:24:02 --> 00:24:03]  выдержали температуры
[00:24:03 --> 00:24:05]  не выше 30 градусов.
[00:24:05 --> 00:24:06]  Поэтому
[00:24:06 --> 00:24:07]  рыбу
[00:24:07 --> 00:24:08]  холодного копчения
[00:24:08 --> 00:24:09]  в термоками
[00:24:09 --> 00:24:10]  и же за 150
[00:24:10 --> 00:24:11]  коптить
[00:24:11 --> 00:24:12]  я бы
[00:24:12 --> 00:24:13]  не рекомендовал.
[00:24:13 --> 00:24:14]  Вот
[00:24:14 --> 00:24:15]  Вкратно
[00:24:15 --> 00:24:17]  остановлюсь на том,
[00:24:17 --> 00:24:18]  что
[00:24:18 --> 00:24:19]  опять-таки
[00:24:19 --> 00:24:20]  про универсальность.
[00:24:20 --> 00:24:22]  Моги
[00:24:22 --> 00:24:24]  сейчас производители
[00:24:24 --> 00:24:26]  спенные
[00:24:26 --> 00:24:27]  варики
[00:24:27 --> 00:24:28]  мендуют покупать
[00:24:28 --> 00:24:29]  неверсальные камеры
[00:24:29 --> 00:24:30]  потому что
[00:24:30 --> 00:24:31]  типа
[00:24:31 --> 00:24:32]  выстрахуют
[00:24:32 --> 00:24:33]  и все
[00:24:33 --> 00:24:34]  восьтого
[00:24:34 --> 00:24:35]  вы можете
[00:24:35 --> 00:24:36]  рыбу делать
[00:24:36 --> 00:24:37]  холодного копчения
[00:24:37 --> 00:24:38]  и все
[00:24:38 --> 00:24:39]  что уводно.
[00:24:39 --> 00:24:40]  На моем моподе
[00:24:40 --> 00:24:42]  могу
[00:24:42 --> 00:24:43]  сказать, что
[00:24:43 --> 00:24:44]  наиболее
[00:24:44 --> 00:24:45]  успешная
[00:24:45 --> 00:24:47]  предприятия
[00:24:47 --> 00:24:48]  коптильные
[00:24:48 --> 00:24:49]  которые стартуют.
[00:24:49 --> 00:24:50]  И
[00:24:50 --> 00:24:52]  во вторых
[00:24:52 --> 00:24:53]  ограничили
[00:24:53 --> 00:24:54]  как-то свой стимент.
[00:24:54 --> 00:24:56]  Приторгновен
[00:24:56 --> 00:25:00]  ну,
[00:25:00 --> 00:25:01]  если
[00:25:01 --> 00:25:02]  желание
[00:25:02 --> 00:25:04]  копить все
[00:25:04 --> 00:25:05]  подряд,
[00:25:05 --> 00:25:06]  зато
[00:25:06 --> 00:25:08]  могу
[00:25:08 --> 00:25:10]  все лейтой
[00:25:10 --> 00:25:11]  ящен
[00:25:11 --> 00:25:13]  вот
[00:25:13 --> 00:25:15]  он
[00:25:15 --> 00:25:16]  наверное
[00:25:16 --> 00:25:18]  variations
[00:25:18 --> 00:25:19]  что
[00:25:19 --> 00:25:20]  я
[00:25:20 --> 00:25:22]  сейчас волнования
[00:25:22 --> 00:25:27]  В последний раз, после не раз, к нам приезжали ребята из Москвы.
[00:25:27 --> 00:25:34]  У них бренц свой по производству, натуральных колбас.
[00:25:34 --> 00:25:38]  На тюрье, на тюрье, на тюрье, на тюрье, на тюрье.
[00:25:38 --> 00:25:41]  Потрясающие колбасы, ребята делают профессионально,
[00:25:41 --> 00:25:45]  с использованием профессионального обаобудования.
[00:25:45 --> 00:25:49]  Очень хорошей хорошо подошли технологии, подборусы,
